bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
,,CE,Civil Engineering,1420 . Tagore Engineering College,,86.00,,,
,,CE,Civil Engineering,4680 . AAA College Of Engineering And Technology,,95.00,,,
,,ME,Mechanical Engineering,2747 . Shree Venkateshwara Hi-Tech Engineering College,,94.75,,,
,,EE,Electrical And Electronics Engineering,4980 . Einstein College Of Engineering,,81.50,,,
,,CE,Civil Engineering,2639 . Narasu's Sarathy Institute Of Technology,,81.00,,,
164.50,133.25,EC,Electronics And Comm. Engineering,1015 . University College Of Engineering- Arni,165.25,172.00,145.25,148.25,111.50
191.25,187.00,CS,Computer Science And Engineering,5901 . A.C.College Of Engineering And Technology (AUT),187.00,192.50,156.25,172.75,120.00
93.25,,CE,Civil Engineering,2661 . Vivekanandha College Of Technology For Women,80.75,121.50,,93.50,
,,EE,Electrical And Electronics Engineering,1303 . Anand Institute Of Higher Technology,,97.00,,,
,,CS,Computer Science And Engineering,4952 . C.S.I. Institute Of Technology,,91.50,,,
,,CS,Computer Science And Engineering,2768 . Park College Of Technology,,80.50,,,
,,CE,Civil Engineering,2347 . Avs College Of Technology,79.00,108.50,,,
180.25,174.00,ME,Mechanical Engineering,5986 . Velammal College Of Engineering And Technology,167.75,184.25,105.75,122.50,
,,ME,Mechanical Engineering,1442 . Prince Dr.K.Vasudevan College Of Engineering And Technology,,87.75,,,
97.00,,ME,Mechanical Engineering,2642 . P.S.V.College Of Engineering And Technology,92.00,128.00,,,
186.50,166.00,EE,Electrical And Electronics Engineering,2702 . Bannari Amman Institute Of Technology (AUT),180.75,188.00,128.75,126.75,
85.00,95.75,EC,Electronics And Comm. Engineering,4944 . Arunachala College Of Engineering For Women,96.75,107.50,,,
175.25,,CH,Chemical Engineering,1122 . Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,174.00,179.50,,129.50,98.00
170.00,121.75,CH,Chemical Engineering,1504 . Arunai Engineering College,166.50,174.75,,126.25,
188.75,180.75,ME,Mechanical Engineering,2711 . Kongu Engineering College,184.00,190.75,131.00,154.50,
190.25,189.00,CS,Computer Science And Engineering,4974 . Government College Of Engineering - Tirunelveli,183.75,192.00,141.00,166.00,145.50
,,EC,Electronics And Comm. Engineering,2641 . Varuvan Vadivelan Institute Of Technology,,78.75,,,
,,CE,Civil Engineering,4970 . Sree Sowdambika College Of Engineering,88.00,101.25,,,
189.75,178.25,EC,Electronics And Comm. Engineering,1112 . R.M.D. Engineering College,185.75,191.00,117.00,164.25,101.75
100.75,,ME,Mechanical Engineering,1401 . Adhiparasakthi Engineering College,115.00,141.50,,80.75,
144.75,140.25,CE,Civil Engineering,4959 . Kamaraj College Of Engineering And Technology,126.50,158.00,,151.25,
,,CE,Civil Engineering,2762 . Jansons Institute Of Technology,,92.00,,,
104.25,115.00,EC,Electronics And Comm. Engineering,1106 . Jaya Engineering College,114.50,133.00,,92.75,
95.50,,CS,Computer Science And Engineering,4995 . P.S.R.Rengasamy College Of Engineering For Women,,99.25,,,
177.50,170.75,EE,Electrical And Electronics Engineering,5910 . PSNA College Of Engineering And Technology,159.00,179.50,132.25,113.75,
,,EC,Electronics And Comm. Engineering,1411 . Madha Engineering College,,98.25,,,
,,ME,Mechanical Engineering,4993 . Loyola Institute Of Technology And Science,81.25,85.00,,,
116.75,140.00,CE,Civil Engineering,4954 . Dr.Sivanthi Aditanar College Of Engineering,88.00,152.00,,,
,,CS,Computer Science And Engineering,1102 . Bhajarang Engineering College,,88.25,,,
181.00,184.25,TX,Textile Technology,2712 . Kumaraguru College Of Technology (AUT),175.00,185.25,,126.00,
129.25,123.00,ME,Mechanical Engineering,2721 . Tamilnadu College Of Engineering,125.50,149.00,,126.25,
,,CE,Civil Engineering,1303 . Anand Institute Of Higher Technology,,87.75,,,
85.25,,EE,Electrical And Electronics Engineering,4953 . Cape Institute Of Technology,,104.50,,,
109.75,109.50,CE,Civil Engineering,1301 . Mohamed Sathak A.J.College Of Engineering,,111.25,,,
185.25,179.75,EE,Electrical And Electronics Engineering,1210 . Panimalar Engineering College,181.50,187.75,92.00,153.50,
,,CE,Civil Engineering,2743 . Dhanalakshmi Srinivasan College Of Engineering,,109.75,,,
,,EE,Electrical And Electronics Engineering,4979 . V.P.Muthaiah Pillai Meenakshi Ammal Engineering College For Women,,88.50,,,
,,EC,Electronics And Comm. Engineering,2627 . Selvam College Of Technology,,81.50,,,
,,EE,Electrical And Electronics Engineering,4680 . AAA College Of Engineering And Technology,,82.50,,,
,,EE,Electrical And Electronics Engineering,1208 . Kanchi Pallavan Engineering College,,126.25,,,
,,EE,Electrical And Electronics Engineering,2337 . Vidhya Mandhir Institute Of Technology,,89.75,,,
93.75,,CS,Computer Science And Engineering,4933 . St.Mother Theresa Engineering College,91.50,132.75,,,
,,EE,Electrical And Electronics Engineering,1107 . Jaya Institute Of Technology,,82.25,,,
,,EE,Electrical And Electronics Engineering,2641 . Varuvan Vadivelan Institute Of Technology,79.50,108.50,,,
137.25,146.00,CE,Civil Engineering,5017 . University College Of Engineering- Ramanathapuram,134.50,152.50,,130.50,
94.25,98.75,CE,Civil Engineering,2727 . Sri Shakthi Institute Of Engineering And Technology,,114.25,,114.00,
95.50,118.00,ME,Mechanical Engineering,1431 . New Prince Shri Bhavani College Of Engineering And Technology,87.75,119.25,,,
88.25,,CE,Civil Engineering,2717 . Sasurie College Of Engineering,87.75,122.25,,,
85.00,,ME,Mechanical Engineering,2602 . Annai Mathammal Sheela Engineering College,93.00,101.75,,88.75,
,,EC,Electronics And Comm. Engineering,1402 . Annai Teresa College Of Engineering,,82.00,,,
,,EC,Electronics And Comm. Engineering,2606 . Jayam College Of Engineering And Technology,,95.75,,,
179.50,174.75,CE,Civil Engineering,2722 . Sri Krishna College Of Technology (AUT),167.50,183.50,95.25,162.25,
,,EC,Electronics And Comm. Engineering,1313 . SMK Fomra Institute Of Technology,81.25,108.00,,,
,,EC,Electronics And Comm. Engineering,5922 . Vickram College Of Engineering,,87.25,,,
184.00,172.75,CS,Computer Science And Engineering,1149 . ST.Joseph's Institute Of Technology,181.50,188.25,,138.75,
,,EC,Electronics And Comm. Engineering,1133 . Annai Veilankanni's College Of Engineering,,92.50,,,
108.00,,EC,Electronics And Comm. Engineering,2656 . Erode Builder Educational Trust's Group Of Institutions,116.50,158.25,,,
172.00,168.25,EE,Electrical And Electronics Engineering,1237 . Velammal Institute Of Technology,165.50,175.00,,131.00,
105.50,,EE,Electrical And Electronics Engineering,1110 . Prathyusha Engineering College,85.75,142.75,,103.25,
190.00,184.75,EC,Electronics And Comm. Engineering,1210 . Panimalar Engineering College,188.00,191.75,119.50,167.00,159.75
,,CS,Computer Science And Engineering,1445 . Sri Rangapoopathi College Of Engineering,,87.75,,,
,,EC,Electronics And Comm. Engineering,5913 . R.V.S. College Of Engineering,,94.75,,,
138.00,131.00,ME,Mechanical Engineering,2716 . Park College Of Engineering And Technology,134.50,151.00,,80.75,
,,CS,Computer Science And Engineering,1218 . Sri Muthukumaran Institute Of Technology,,94.50,,,
88.75,,EC,Electronics And Comm. Engineering,2328 . K S R Institute For Engineering And Technology,86.25,146.50,,,
,,CS,Computer Science And Engineering,1243 . Madha Institute Of Engineering And Technology,,143.25,,,
,,CE,Civil Engineering,1141 . R.V.S. Padhmavathy College Of Engineering & Technology,,99.50,,,
,,CE,Civil Engineering,4972 . Sun College Of Engineering And Technology,,89.75,,,
,,CS,Computer Science And Engineering,4982 . Vins Christian College Of Engineering,,92.75,,,
194.00,188.50,EE,Electrical And Electronics Engineering,2712 . Kumaraguru College Of Technology (AUT),191.50,194.25,164.25,175.25,
,,CE,Civil Engineering,2652 . Al-Ameen Engineering College,,105.00,,,
,,EC,Electronics And Comm. Engineering,2341 . Ganesh College Of Engineering,,91.25,,,
,,ME,Mechanical Engineering,1434 . Surya Group Of Institutions,,88.00,,,
,,CE,Civil Engineering,1213 . S.K.R. Engineering College,,91.00,,,
134.25,119.25,CS,Computer Science And Engineering,1316 . Agni College Of Technology,115.00,159.00,,103.50,
,,EC,Electronics And Comm. Engineering,5919 . St.Michael College Of Engineering & Technology,,90.50,,,
87.00,,EC,Electronics And Comm. Engineering,1420 . Tagore Engineering College,84.50,122.00,,101.50,
123.50,,CS,Computer Science And Engineering,1116 . Sri Venkateswara College Of Engineering And Technology,83.25,157.50,,102.25,
95.50,114.50,EE,Electrical And Electronics Engineering,4955 . Francis Xavier Engineering College,,131.00,,113.50,
115.75,120.50,EE,Electrical And Electronics Engineering,1131 . Vel Tech,78.75,135.25,,96.50,
,,CS,Computer Science And Engineering,5914 . Raja College Of Engineering And Technology,,85.50,,,
,,EE,Electrical And Electronics Engineering,5924 . Ganapathy Chettiar College Of Engineering And Technology,,94.00,,,
90.00,86.25,CS,Computer Science And Engineering,5536 . Mangayarkarasi College Of Engineering,85.75,90.25,,,
95.25,,EC,Electronics And Comm. Engineering,2354 . Pollachi Institute Of Engineering And Technology,87.75,148.50,,,
,,CE,Civil Engineering,2734 . S N S College Of Engineering,,82.75,,,
,,EE,Electrical And Electronics Engineering,4948 . Rajas International Institute Of Technology For Women,,92.00,,,
,,CE,Civil Engineering,2338 . Asian College Of Engineering And Technology,,98.50,,,
,,ME,Mechanical Engineering,5912 . Pandian Saraswathi Yadav Engineering College,89.25,90.75,,,
,,EE,Electrical And Electronics Engineering,1514 . Sri Nandhanam College Of Engineering And Technology,,100.00,,,
,,CE,Civil Engineering,1415 . T.S.M. Jain College Of Technology,,81.25,,,
,,ME,Mechanical Engineering,2612 . P G P College Of Engineering And Technology,,91.00,,,
,,CE,Civil Engineering,4949 . PSN Institute Of Technology And Science,,110.25,,,
190.75,188.50,EE,Electrical And Electronics Engineering,1317 . St.Joseph's College Of Engineering,185.50,192.00,130.25,167.75,146.50
94.50,,CS,Computer Science And Engineering,2367 . Arjun College Of Technology,100.25,109.75,,,
,,CE,Civil Engineering,1319 . Thangavelu Engineering College,,84.75,,,
191.25,188.50,CS,Computer Science And Engineering,1304 . Easwari Engineering College,185.50,192.50,138.75,164.25,
83.75,91.50,CS,Computer Science And Engineering,2761 . United Institute Of Technology,,119.00,,,
,,EC,Electronics And Comm. Engineering,5942 . Ultra College Of Engineering And Technology For Women,,115.75,,,
,,CE,Civil Engineering,4977 . Narayanaguru College Of Engineering,,104.75,,,
140.00,156.00,EE,Electrical And Electronics Engineering,2607 . K.S.Rangasamy College Of Technology (AUT),152.75,163.75,,122.00,
,,CE,Civil Engineering,1133 . Annai Veilankanni's College Of Engineering,,86.25,,,
108.50,,EE,Electrical And Electronics Engineering,2623 . Mahendra College Of Engineering,98.75,118.50,,,
,,EC,Electronics And Comm. Engineering,1202 . D M I College Of Engineering,,90.75,,,
,,EE,Electrical And Electronics Engineering,2627 . Selvam College Of Technology,,77.50,,,
177.00,129.50,CS,Computer Science And Engineering,4678 . Ramco Institute Of Technology,156.00,182.25,,128.25,
,,ME,Mechanical Engineering,1133 . Annai Veilankanni's College Of Engineering,,90.75,,,
,,CS,Computer Science And Engineering,4937 . A.R. College Of Engineering And Technology,,103.75,,,
,,EC,Electronics And Comm. Engineering,2349 . Dhaanish Ahmed Institute Of Technology,,116.50,,,
187.50,185.75,ME,Mechanical Engineering,1450 . Loyola - Icam College Of Engineering And Technology,178.25,190.50,138.75,164.25,140.75
85.50,,EE,Electrical And Electronics Engineering,4993 . Loyola Institute Of Technology And Science,,108.00,,98.75,
,,CE,Civil Engineering,5832 . N P R College Of Engineering And Technology,,91.25,,,
86.50,,ME,Mechanical Engineering,1222 . P.B. College Of Engineering,101.75,147.75,,108.00,
,,EE,Electrical And Electronics Engineering,5921 . Syed Ammal Engineering College,80.50,111.25,,,
,,EC,Electronics And Comm. Engineering,1319 . Thangavelu Engineering College,,110.50,,,
,,ME,Mechanical Engineering,2776 . RVS Technical Campus - Coimbatore,,83.75,,,
,,EE,Electrical And Electronics Engineering,4996 . Sri Vidya College Of Engineering & Technology,,96.75,,,
90.50,,EC,Electronics And Comm. Engineering,2610 . Muthayammal Engineering College (AUT),85.00,149.50,,,
159.50,152.00,CS,Computer Science And Engineering,1122 . Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,142.50,164.50,101.75,114.75,
151.00,139.50,CS,Computer Science And Engineering,2622 . V.S.B. Engineering College,123.00,180.50,,,
163.00,168.25,CE,Civil Engineering,2710 . Karpagam College Of Engineering (AUT),162.75,170.75,79.75,121.75,94.25
120.00,,CS,Computer Science And Engineering,4680 . AAA College Of Engineering And Technology,118.25,142.50,,118.50,
,,EC,Electronics And Comm. Engineering,1209 . Pallavan College Of Engineering,,94.25,,,
,,ME,Mechanical Engineering,2627 . Selvam College Of Technology,,81.75,,,
,,CE,Civil Engineering,2332 . Aishwarya College Of Engineering And Technology,,97.75,,,
188.50,184.75,ME,Mechanical Engineering,2709 . Institute Of Road And Transport Technology,184.75,190.25,154.50,170.25,
110.75,,CS,Computer Science And Engineering,2354 . Pollachi Institute Of Engineering And Technology,94.25,155.50,,,
,,EE,Electrical And Electronics Engineering,5942 . Ultra College Of Engineering And Technology For Women,,108.75,,,
,,EC,Electronics And Comm. Engineering,2762 . Jansons Institute Of Technology,,114.50,,,
,,CE,Civil Engineering,4945 . Vins Christian Women's College Of Engineering,,91.00,,,
,,EE,Electrical And Electronics Engineering,1213 . S.K.R. Engineering College,,90.00,,,
124.50,141.75,CH,Chemical Engineering,2707 . Erode Sengunthar Engineering College,85.75,158.75,,139.25,
195.25,195.50,BY,Bio Medical Engineering(SS),2006 . P.S.G. College Of Technology (Aut),193.25,196.25,181.00,183.00,191.75
,,ME,Mechanical Engineering,1102 . Bhajarang Engineering College,,115.50,,,
,,EC,Electronics And Comm. Engineering,1455 . Apollo Priyadarshanam Institute Of Technology,,100.50,,,
133.75,,EE,Electrical And Electronics Engineering,1222 . P.B. College Of Engineering,99.50,140.50,,,
,,CE,Civil Engineering,4979 . V.P.Muthaiah Pillai Meenakshi Ammal Engineering College For Women,,93.75,,,
87.50,,ME,Mechanical Engineering,4677 . Lourdes Mount College Of Engineering And Technology,,90.50,,,
105.75,145.00,EC,Electronics And Comm. Engineering,4965 . P.S.R Engineering College (AUT),104.25,146.00,,119.50,
,,EE,Electrical And Electronics Engineering,4956 . Jayamatha Engineering College,,96.75,,,
179.75,144.75,EC,Electronics And Comm. Engineering,4678 . Ramco Institute Of Technology,171.25,184.00,,91.50,
99.00,116.00,EC,Electronics And Comm. Engineering,1126 . JNN  Institute Of Engineering,,132.00,119.75,,
97.50,,ME,Mechanical Engineering,1207 . Kings Engineering College,81.75,147.75,,,
,,EE,Electrical And Electronics Engineering,5915 . SACS M.A.V.M.M Engineering College,,83.00,,,
,87.25,EC,Electronics And Comm. Engineering,2761 . United Institute Of Technology,,115.00,,,
,,EC,Electronics And Comm. Engineering,1102 . Bhajarang Engineering College,,100.50,,,
98.75,126.00,EE,Electrical And Electronics Engineering,1408 . Ifet College Of Engineering,106.25,131.25,,107.75,
187.75,176.50,CS,Computer Science And Engineering,2719 . Sri Ramakrishna Engineering College (AUT),180.00,189.50,147.00,130.50,98.25
,,CS,Computer Science And Engineering,4972 . Sun College Of Engineering And Technology,,95.50,,,
,,ME,Mechanical Engineering,5531 . C.R. Engineering College,,110.00,,,
,,CE,Civil Engineering,5930 . SBM College Of Engineering And Technology,,86.75,,,
164.25,158.50,ME,Mechanical Engineering,5022 . University College Of Engineering- Dindigul,166.25,172.25,167.75,159.00,101.00
,,EE,Electrical And Electronics Engineering,4969 . Scad College Of Engineering And Technology,,91.50,,,
,,EE,Electrical And Electronics Engineering,4964 . PSN College Of Engineering And Technology (AUT),,94.75,,,
195.25,192.00,IM,Information Technology(SS),2007 . Coimbatore Institute Of Technology (Aut),192.25,195.50,174.75,181.75,
,,EC,Electronics And Comm. Engineering,2643 . Bharathiyar Institute Of Engineering For Women,,118.00,,,
106.50,137.75,ME,Mechanical Engineering,5907 . Mohamed Sathak Engineering College,112.00,139.75,,80.00,
,,CE,Civil Engineering,1322 . Dhanalakshmi Srinivasan College Of Engineering And Technology,,109.00,,,
,,CS,Computer Science And Engineering,4999 . Annai Vailankanni College Of Engineering,,98.25,,,
188.75,186.75,EC,Electronics And Comm. Engineering,1309 . Meenakshi Sundararajan Engineering College,183.75,191.25,108.25,171.25,143.00
88.50,,EE,Electrical And Electronics Engineering,2654 . S V S College Of Engineering,100.50,132.00,,,
195.75,194.00,ME,Mechanical Engineering,2005 . Government College Of Technology- Coimbatore (Aut),194.50,196.25,186.75,188.50,182.50
,,ME,Mechanical Engineering,2730 . Maharaja Institute Of Technology,,127.00,,,
125.75,,EE,Electrical And Electronics Engineering,2741 . P A College Of Engineering And Technology,,127.25,,,
93.25,,CS,Computer Science And Engineering,2609 . Mahendra Engineering College,84.75,118.00,,,
164.75,166.75,CS,Computer Science And Engineering,1013 . University College Of Engineering- Villupuram,164.25,173.75,109.50,151.50,
192.75,189.25,CS,Computer Science And Engineering,2718 . Sri Krishna College Of Engineering & Technology (AUT),187.75,193.50,137.25,161.25,
86.25,,ME,Mechanical Engineering,5536 . Mangayarkarasi College Of Engineering,,108.75,,,
,,ME,Mechanical Engineering,2758 . J K K Munirajah College Of Technology,,85.00,,,
195.50,194.50,EM,Electronics And Comm. Engineering (SS),5008 . Thiagarajar College Of Engineering (AUT),194.00,195.75,179.50,182.50,
165.75,163.25,CS,Computer Science And Engineering,1311 . K.C.G. College Of Technology,154.50,174.50,111.50,97.75,131.50
86.25,87.75,ME,Mechanical Engineering,2734 . S N S College Of Engineering,79.75,125.50,,103.50,
95.50,,EC,Electronics And Comm. Engineering,1207 . Kings Engineering College,107.50,114.50,,,
166.25,154.75,CS,Computer Science And Engineering,1320 . Jeppiaar Srr Engineering College,154.00,171.75,108.25,118.25,
86.75,98.50,ME,Mechanical Engineering,4968 . Sardar Raja College Of Engineering,78.50,100.50,,,
,,CS,Computer Science And Engineering,1449 . Saraswathy College Of Engineering & Technology,,97.50,,,
190.75,188.75,CS,Computer Science And Engineering,4960 . Mepco Schlenk Engineering College (AUT),185.00,192.00,125.50,147.00,114.00
89.00,,EC,Electronics And Comm. Engineering,1447 . Jawahar Engineering College,92.75,100.00,,79.50,
,,ME,Mechanical Engineering,4973 . Rajas Engineering College,,88.00,,,
95.75,90.75,EE,Electrical And Electronics Engineering,4672 . Stella Mary's College Of Engineering,82.00,96.50,,,
,,ME,Mechanical Engineering,5502 . Sri Raaja Raajan College Of Engineering And Technology,,86.50,,,
176.25,173.00,CE,Civil Engineering,1210 . Panimalar Engineering College,176.00,183.75,150.00,153.00,112.75
192.25,191.00,CS,Computer Science And Engineering,1317 . St.Joseph's College Of Engineering,190.00,193.25,134.75,171.75,127.75
187.75,189.25,ME,Mechanical Engineering,1309 . Meenakshi Sundararajan Engineering College,184.00,190.50,104.25,162.00,
,,EC,Electronics And Comm. Engineering,1235 . J E I Mathaajee College Of Engineering,,95.50,,,
,,EC,Electronics And Comm. Engineering,1245 . John Bosco Engineering College,,155.00,,,
,,ME,Mechanical Engineering,5915 . SACS M.A.V.M.M Engineering College,,80.00,,,
118.25,134.25,CS,Computer Science And Engineering,4965 . P.S.R Engineering College (AUT),89.25,144.50,,,
194.25,192.00,EC,Electronics And Comm. Engineering,1219 . Sri Venkateswara College Of Engineering (AUT),191.75,195.00,172.00,180.50,
102.25,114.50,EC,Electronics And Comm. Engineering,4981 . Ponjesly College Of Engineering,126.25,151.75,,141.00,
143.00,147.00,EC,Electronics And Comm. Engineering,5017 . University College Of Engineering- Ramanathapuram,130.50,160.50,144.75,133.75,
92.75,,EC,Electronics And Comm. Engineering,2729 . Nehru Institute Of Engineering And Technology,91.50,99.25,,,
,,EE,Electrical And Electronics Engineering,4972 . Sun College Of Engineering And Technology,,119.25,,,
,,ME,Mechanical Engineering,4987 . James College Of Engineering And Technology,,90.00,,,
162.50,154.50,CE,Civil Engineering,1419 . Sri Sairam Engineering College,156.50,171.75,,136.50,
,,EE,Electrical And Electronics Engineering,1116 . Sri Venkateswara College Of Engineering And Technology,,115.00,,,
,,CE,Civil Engineering,4968 . Sardar Raja College Of Engineering,,94.50,,,
,,CS,Computer Science And Engineering,4669 . Thamirabharani Engineering College,,100.00,,,
,,ME,Mechanical Engineering,2358 . Scad Institute Of Technology,,92.75,,,
,,EC,Electronics And Comm. Engineering,4978 . Udaya School Of Engineering,,146.00,,,
,,EC,Electronics And Comm. Engineering,4929 . M.E.T Engineering College,,156.50,,,
,,CE,Civil Engineering,1513 . Sri Balaji Chockalingam Engineering College,,101.25,,,
,,XM,Mechanical Engineering (Tm),1015 . University College Of Engineering- Arni,,95.50,,,
126.50,141.25,EE,Electrical And Electronics Engineering,1311 . K.C.G. College Of Technology,92.75,150.25,,87.75,
,,EC,Electronics And Comm. Engineering,2721 . Tamilnadu College Of Engineering,,99.00,,,
197.50,196.25,EE,Electrical And Electronics Engineering,2006 . P.S.G. College Of Technology (Aut),196.00,197.75,190.50,192.50,183.75
,,ME,Mechanical Engineering,1415 . T.S.M. Jain College Of Technology,,135.25,,,
,,CS,Computer Science And Engineering,4927 . Maria College Of Engineering And Technology,,112.75,,,
,,EE,Electrical And Electronics Engineering,1413 . Sri Venkateswaraa College Of Technology,,97.25,,,
127.00,,CS,Computer Science And Engineering,2741 . P A College Of Engineering And Technology,83.75,160.75,,151.75,
,,ME,Mechanical Engineering,4998 . Mahakavi Bharathiyar College Of Engineering And Technology,,102.75,,,
97.75,104.00,ME,Mechanical Engineering,1416 . Jaya Sakthi Engineering College,,114.00,,,
,,ME,Mechanical Engineering,2338 . Asian College Of Engineering And Technology,,88.00,,,
90.25,86.00,EC,Electronics And Comm. Engineering,2664 . S R S College Of Engineering And Technology,92.50,140.00,,,
,,CE,Civil Engineering,1232 . Arm College Of Engineering And Technology,,103.50,,,
165.50,172.25,CS,Computer Science And Engineering,1310 . Misrimal Navajee Munoth Jain Engineering College,145.25,174.75,,103.25,
,,CE,Civil Engineering,1325 . ST.Joseph College Of Engineering,,95.25,,,
91.50,116.50,EC,Electronics And Comm. Engineering,1452 . Peri Institute Of Technology,82.00,128.00,,84.50,
,,CE,Civil Engineering,4982 . Vins Christian College Of Engineering,,89.75,,,
,,EE,Electrical And Electronics Engineering,1411 . Madha Engineering College,,107.75,,,
177.75,158.50,CS,Computer Science And Engineering,1237 . Velammal Institute Of Technology,169.50,181.00,117.75,135.50,
,,CE,Civil Engineering,4996 . Sri Vidya College Of Engineering & Technology,,97.50,,,
,,CE,Civil Engineering,5502 . Sri Raaja Raajan College Of Engineering And Technology,,90.50,,,
,,CS,Computer Science And Engineering,2356 . Arulmurugan College Of Engineering,,81.25,,,
,,CE,Civil Engineering,2623 . Mahendra College Of Engineering,,85.00,,,
,,EE,Electrical And Electronics Engineering,2731 . R V S College Of Engineering And Technology,,88.50,,,
,,CE,Civil Engineering,2640 . Jayalakshmi Institute Of Technology,,96.00,,,
,,ME,Mechanical Engineering,2768 . Park College Of Technology,,80.50,,,
154.25,153.75,CE,Civil Engineering,5022 . University College Of Engineering- Dindigul,154.25,163.75,134.00,147.25,
174.00,168.50,CE,Civil Engineering,1120 . Velammal Engineering College,164.50,179.00,154.00,148.25,
,,XM,Mechanical Engineering (Tm),4023 . University College Of Engineering- Nagercoil,,84.50,,,
179.50,161.00,EE,Electrical And Electronics Engineering,2722 . Sri Krishna College Of Technology (AUT),171.50,182.25,99.75,109.25,
,,EC,Electronics And Comm. Engineering,2733 . Angel College Of Engineering And Technology,,96.25,,,
,,CE,Civil Engineering,2612 . P G P College Of Engineering And Technology,,98.25,,,
97.25,106.25,ME,Mechanical Engineering,4952 . C.S.I. Institute Of Technology,,123.00,,,
,,CE,Civil Engineering,2749 . Easa College Of Engineering And Technology,,96.00,,,
95.50,89.50,CS,Computer Science And Engineering,1504 . Arunai Engineering College,93.00,141.00,,,
,,CS,Computer Science And Engineering,2649 . Karur College Of Engineering,,98.75,,,
,,ME,Mechanical Engineering,1402 . Annai Teresa College Of Engineering,,85.75,,,
90.75,,EE,Electrical And Electronics Engineering,2647 . J.K.K. Nattraja College Of Engineering And Technology,80.75,90.75,,,
,,CS,Computer Science And Engineering,2757 . Tejaa Shakthi Institute Of Technology For Women,,110.25,,,
,,EC,Electronics And Comm. Engineering,2350 . Jairupaa College Of Engineering,,169.50,,,
,,CE,Civil Engineering,2755 . Sri Ramanathan Engineering College,,103.00,,,
,,ME,Mechanical Engineering,2625 . The Kavery Engineering College,,104.50,,,
128.50,,EE,Electrical And Electronics Engineering,1331 . Aksheyaa College Of Engineering,83.75,171.25,,131.00,
,,ME,Mechanical Engineering,1437 . Rrase College Of Engineering,,101.75,,,
,,CE,Civil Engineering,2660 . Gnanamani College Of Engineering,,77.75,,,
184.25,182.25,MN,Manufacturing Engineering,1321 . Central Institute Of Plastics Engineering And Technology,181.25,187.50,,166.25,
93.50,,ME,Mechanical Engineering,1501 . Adhiparasakthi College Of Engineering,122.75,144.25,,85.75,
,,CS,Computer Science And Engineering,1442 . Prince Dr.K.Vasudevan College Of Engineering And Technology,,99.25,,,
,,ME,Mechanical Engineering,2655 . V K S College Of Engineering And Technology,,125.25,,,
93.25,110.50,CE,Civil Engineering,1320 . Jeppiaar Srr Engineering College,81.75,130.50,,81.00,
,,ME,Mechanical Engineering,1524 . Annamalaiar College Of Engineering,,100.75,,,
,,EE,Electrical And Electronics Engineering,2715 . Nandha Engineering College (AUT),,100.75,,,
,,EE,Electrical And Electronics Engineering,2734 . S N S College Of Engineering,,106.00,,,
,,CE,Civil Engineering,2738 . Sasurie Academy Of Engineering,,86.25,,,
,,CE,Civil Engineering,2360 . Suguna College Of Engineering,,119.25,,,
,,ME,Mechanical Engineering,4989 . PSN Engineering College,,95.50,,,
,,CE,Civil Engineering,4676 . Renganayagi Varatharaj College Of Engineering,,87.25,,,
,,EE,Electrical And Electronics Engineering,4970 . Sree Sowdambika College Of Engineering,,83.25,,,
,,CE,Civil Engineering,2357 . V.S.B. College Of Engineering Technical Campus,,92.00,,,
87.00,103.75,CE,Civil Engineering,5912 . Pandian Saraswathi Yadav Engineering College,105.50,109.75,,,
,,EC,Electronics And Comm. Engineering,2745 . Kathir College Of Engineering,,98.75,,,
,,EC,Electronics And Comm. Engineering,1518 . Thiruvalluvar College Of Engineering And Technology,,115.25,,,
,,EC,Electronics And Comm. Engineering,4999 . Annai Vailankanni College Of Engineering,,139.75,,,
190.00,178.75,EE,Electrical And Electronics Engineering,2711 . Kongu Engineering College,185.25,191.25,154.00,152.00,
,,EE,Electrical And Electronics Engineering,1415 . T.S.M. Jain College Of Technology,,95.00,,,
,,CS,Computer Science And Engineering,2769 . J C T College Of Engineering And Technology,,97.75,,,
,,ME,Mechanical Engineering,1517 . Thirumalai Engineering College,,88.50,,,
,,CS,Computer Science And Engineering,2657 . Pavai College Of Technology,,78.00,,78.00,
181.25,170.75,ME,Mechanical Engineering,1306 . Jeppiaar Engineering College,175.75,185.00,98.25,149.25,134.50
,,EC,Electronics And Comm. Engineering,4972 . Sun College Of Engineering And Technology,,88.00,,,
94.00,105.25,ME,Mechanical Engineering,1202 . D M I College Of Engineering,81.50,126.00,,94.75,
132.50,96.25,EC,Electronics And Comm. Engineering,1206 . Jeppiaar Maamallan Institute Of Technology,109.75,148.50,,86.25,
,,ME,Mechanical Engineering,1137 . Annai Mira College Of Engineering And Technology,,95.50,,,
89.50,88.50,CS,Computer Science And Engineering,2647 . J.K.K. Nattraja College Of Engineering And Technology,82.50,91.00,,,
,,CE,Civil Engineering,2349 . Dhaanish Ahmed Institute Of Technology,,90.00,,,
,,CE,Civil Engineering,2730 . Maharaja Institute Of Technology,,124.50,,,
,,CE,Civil Engineering,4967 . S.Veerasamy Chettiar College Of Engineering And Technology,,87.50,,,
