bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
89.75,,CS,Computer Science And Engineering,1230 . Apollo Engineering College,84.50,120.75,,,
175.25,157.75,CS,Computer Science And Engineering,1432 . Rajalakshmi Institute Of Technology,167.00,179.25,,128.25,
,,CE,Civil Engineering,1418 . Sri Lakshmi Ammal Engineering College,,87.75,,,
160.50,131.25,EC,Electronics And Comm. Engineering,2726 . SNS College Of Technology (AUT),140.50,171.50,104.25,84.50,
159.00,164.00,EE,Electrical And Electronics Engineering,1140 . Jeppiaar Institute Of Technology,147.75,164.75,,124.00,
115.00,,CH,Chemical Engineering,5919 . St.Michael College Of Engineering & Technology,,130.75,,,
100.25,,ME,Mechanical Engineering,2705 . CSI College Of Engineering,86.25,123.75,,,
104.25,105.25,EC,Electronics And Comm. Engineering,2630 . Chettinad College Of Engineering And Technology,,117.75,,,
96.50,124.75,ME,Mechanical Engineering,1424 . Dhaanish Ahmed College Of Engineering,118.75,126.75,,,
141.25,137.00,EE,Electrical And Electronics Engineering,1118 . Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,119.25,155.25,153.75,99.50,
114.75,155.00,EC,Electronics And Comm. Engineering,2750 . KIR - Kalaignar Karunanidhi Institute Of Technology,95.00,160.75,,108.25,
87.25,,CS,Computer Science And Engineering,4969 . Scad College Of Engineering And Technology,,96.50,,,
92.75,,CE,Civil Engineering,1114 . S.A. Engineering College,84.50,106.00,,92.00,
87.00,,ME,Mechanical Engineering,4933 . St.Mother Theresa Engineering College,85.50,115.75,,,
,,ME,Mechanical Engineering,2748 . Surya Engineering College,,88.00,,,
,,EE,Electrical And Electronics Engineering,2763 . Akshaya College Of Engineering & Technology,,97.25,,,
,,CS,Computer Science And Engineering,2337 . Vidhya Mandhir Institute Of Technology,,90.75,,,
113.50,163.50,CH,Chemical Engineering,5907 . Mohamed Sathak Engineering College,105.50,165.75,,122.50,
194.50,191.75,EE,Electrical And Electronics Engineering,2377 . PSG Institute Of Technology And Applied Research,191.75,194.75,164.50,179.00,156.50
,,EC,Electronics And Comm. Engineering,5914 . Raja College Of Engineering And Technology,,115.50,,,
175.00,173.50,CS,Computer Science And Engineering,4962 . National Engineering College (AUT),161.50,180.75,,98.00,
,,ME,Mechanical Engineering,4949 . PSN Institute Of Technology And Science,,84.25,,,
87.00,,CS,Computer Science And Engineering,1207 . Kings Engineering College,82.25,107.75,,,
,,CS,Computer Science And Engineering,1518 . Thiruvalluvar College Of Engineering And Technology,,81.75,,,
,,EC,Electronics And Comm. Engineering,1430 . Maha Barathi Engineering College,,103.25,,,
113.75,123.00,EC,Electronics And Comm. Engineering,4955 . Francis Xavier Engineering College,89.50,154.50,,81.00,
,,EC,Electronics And Comm. Engineering,1440 . Jaya Suriya Engineering College,,124.25,,,
,,CS,Computer Science And Engineering,4983 . Lord Jegannath College Of Engineering And Technology,,109.00,,,
191.00,191.25,CS,Computer Science And Engineering,1309 . Meenakshi Sundararajan Engineering College,187.00,193.25,,168.25,169.25
,,EC,Electronics And Comm. Engineering,1519 . Bharathidasan Engineering College,,118.75,,,
,,ME,Mechanical Engineering,1515 . Saraswathi Velu College Of Engineering,,126.75,,,
,,ME,Mechanical Engineering,1107 . Jaya Institute Of Technology,,89.50,,,
,,CE,Civil Engineering,1235 . J E I Mathaajee College Of Engineering,,95.75,,,
95.75,,EC,Electronics And Comm. Engineering,4672 . Stella Mary's College Of Engineering,,122.00,,,
,,CS,Computer Science And Engineering,4948 . Rajas International Institute Of Technology For Women,,88.50,,,
,,CS,Computer Science And Engineering,4978 . Udaya School Of Engineering,,91.50,,,
97.75,,CS,Computer Science And Engineering,4670 . Rohini College Of Engineering And Technology,83.00,134.50,,,
143.25,144.25,EE,Electrical And Electronics Engineering,5530 . SSM  Institute Of Engineering And Technology,99.00,153.00,,94.50,
,,CS,Computer Science And Engineering,4941 . Unnamalai Institute Of Technology,84.75,94.75,,,
155.25,145.25,ME,Mechanical Engineering,1310 . Misrimal Navajee Munoth Jain Engineering College,84.00,167.25,116.50,149.50,
159.25,118.50,CS,Computer Science And Engineering,2726 . SNS College Of Technology (AUT),141.25,169.25,95.00,98.50,
98.75,,EE,Electrical And Electronics Engineering,2661 . Vivekanandha College Of Technology For Women,90.00,141.75,,118.75,
